ID	locality	country	decimalLongitude	decimalLatitude	geodeticDatum	elevation	aspect	entranceNumber	entranceType	entranceSize	entranceHabitat	entranceHabitatVerbatim	development	positiveDrop	negativeDrop	caveType	caveMorphology	caveActive	caveTouristic	notes	referencesLocality	referencesSpecies	contributorName	contributorEmail
CAVE_436	Baschghöhle	Austria	9,66667	47,25333	WGS84 	785	W	1	horizontal	1	forest	Beech forest (Abieti-Fagetum): Fagus sylvatica, Abies alba, Picea abies	308	NA	NA	karst	NA	1	0	BH	NA	Breuss 1995 Ber nat med Verein Innsbruck 82:227-240	Christian Komposch	ckomposch@oekoteam.at
CAVE_437	Bruderloch	Austria	9,613	47,3333	WGS84 	460	S	1	horizontal	1	forest	Mixed forest: Fagus sylvatica, Picea abies, Fraxinus excelsior, Pinus sylvestris, Carpinus betulus	55	NA	NA	karst	NA	1	0	dry cave (Trockenhöhle)	NA	Breuss 1995 Ber nat med Verein Innsbruck 82:227-241	Christian Komposch	ckomposch@oekoteam.at
CAVE_438	Spiegelsteinhöhle	Austria	9,659	47,2416	WGS84 	675	flat	1	horizontal	1	rocky	scree slope, quite diverse: dry habitats and moisty screes	105	NA	NA	tectonic	NA	1	0	SPH	NA	Breuss 1995 Ber nat med Verein Innsbruck 82:227-242	Christian Komposch	ckomposch@oekoteam.at
CAVE_439	Türkenschanzstollen	Austria	14,58	46,495	WGS84 	660	S	2	horizontal	4	forest	thermophilic mixed forest with Pinus sylvestris, Ostrya carpinifolia, Erica carnea, Sorbus, etc.	200	0	0	artificial	horizontal	0	0	NA	NA	Komposch Unpublished data	Christian Komposch	ckomposch@oekoteam.at
CAVE_440	Lurgrotte	Austria	15,379	47,2272	WGS84 	640	E	2	horizontal	100	forest	moisty canyon-forest with Fagus sylvatica	5000	NA	NA	karst	horizontal	1	1	Water-cave (Wasserhöhle) Attention: 2 entrances - therefore different co-ordinates altitude habitat-type (the given one is for the Semriach-entrance)	Wikipedia	Neuherz 1975  Sitzber der Akad Wiss Wien math.-naturwiss 183:238-244	Christian Komposch	ckomposch@oekoteam.at
CAVE_441	Eggerloch	Austria	13,818	46,5919	WGS84 	560	S	2	horizontal	30	forest	thermophilic mixed forest with Fagus sylvatica, Ostrya carpinifolia, Picea abies, etc.	700	NA	NA	karst	ascendent	1	0	Since decades a frequently touristic cave without any electric installations visited by many private persons since 2012 closed	Wikipedia	Strouhal & Vornatscher 1975 Annal Natur Museu Wien 79:401-452; Komposch C. Unpublished data	Christian Komposch	ckomposch@oekoteam.at
CAVE_442	Griffner Schlossberg-Gipfelhöhle	Austria	14,73	46,7041	WGS84 	480	S	1	descendent	2	shrubs	thermophilic mixed forest	5	NA	NA	karst	descendent	1	1	Very tiny access to a bigger cave-system	NA	Komposch Unpublished data	Christian Komposch	ckomposch@oekoteam.at
CAVE_443	Räuberhöhle	Austria	13,824	46,5725	WGS84 	550	N	1	descendent	4	forest	mixed forest: Picea abies, Fagus sylvatica	50	NA	NA	karst	descendent	1	0	NA	NA	Komposch Unpublished data; Strouhal & Vornatscher 1975 Annal Natur Museu Wien 79:401-452	Christian Komposch	ckomposch@oekoteam.at
CAVE_444	Goldeck-Gipfelhöhle	Austria	14,711	47,5961	WGS84 	1260	N	1	descendent	8	forest	moisty mixed forest: Picea abies, Fagus sylvatica	200	NA	NA	karst	descendent	1	0	A second entrance did exist but has been sloped	Wikipedia	Komposch Unpublished data; ÖKOTEAM 2012	Christian Komposch	ckomposch@oekoteam.at
CAVE_445	Odlsteinhöhle	Austria	14,612	47,5244	WGS84 	1085	N	1	horizontal	3,5	forest	moisty deciduous forest with Fagus sylvatica, Acer pseudoplatanus	470	NA	NA	karst	descendent	1	1	Odelsteinhöhle touristic cave without any electric installations	NA	Komposch Unpublished data; Strouhal & Vornatscher 1975 Annal Natur Museu Wien 79:401-452	Christian Komposch	ckomposch@oekoteam.at
CAVE_446	Fritz-Otto-Höhle im Wilden Kaiser	Austria	12,236	47,5572	WGS84 	1950	flat	1	horizontal	1	NA	?	50	NA	NA	karst	horizontal	1	0	dry cave (Trockenhöhle)	NA	Thaler 1962; Strouhal & Vornatscher 1975 Annal Natur Museu Wien 79:401-452	Christian Komposch	ckomposch@oekoteam.at
CAVE_200	Bjelušica	Bosnia and Herzegovina	17,9786	42,84472	WGS84 	306	NE	1	horizontal	4	shrubs	NA	150	0	0	karst	horizontal	0	0	during the wet season the lowes part of the cave gets floded	Lučić & Sket 2003	Barusia maheni: CBSS AR3468; 2m; 1f; 2122014; leg Martina Pavlek; det Martina Pavlek; Histopona conveniens; Tegenaria annulata: Kratochvíl; 1934: Prirodoslovne Razprave; Kryptonesticus fagei: Kratochvíl; 1936: Věstník Československé Zoologické Společnosti v Praze; Stalagtia hercegovinensis: Kratochvíl; 1970: Přírodovědné práce ústavů Československé Akademie Věd v Brně (NS); Stygopholcus absoloni: Kratochvíl; 1940: Acta Societatis Scientiarum Naturalium Moraviae; Troglohyphantes salax: Deeleman-Reinhold; 1978a: Slovenska Akademija Znanosti in Umetnosti; Razred za Prirodoslovne Vede; Classis IV; Historia Naturalis (Prirod Vede)	Martina Pavlek	martinapavlek@gmail.com
CAVE_249	Markova pećina	Bosnia and Herzegovina	17,8269	42,97789	WGS84 	400	flat	1	descendent	12	forest	NA	150	0	0	karst	horizontal	0	0	NA	NA	Centromerus cavernarum: CBSS\AR4680; 1m; 2112016; leg Martina Pavlek; det Martina Pavlek; Histopona conveniens: CBSS\AR4695; 1f; 2112016; leg Branko Jalzic; det Martina Pavlek; Palliduphantes spelaeorum: CBSS\AR4681; 1f; 2112016; leg Martina Pavlek; det Martina Pavlek; Stalagtia hercegovinensis: CBSS\AR4231; 1m; 1juv; 722014; leg Branko Jalzic; det Martina Pavlek; Stygopholcus absoloni: CBSS\AR4682; 1m; 2f; 1juv; 2112016; leg Martina Pavlek; det Martina Pavlek; Troglohyphantes sp: CBSS\AR4454; 1m; 1f; 30112009; leg Nikolina Raguz; det Martina Pavlek;	Martina Pavlek	martinapavlek@gmail.com
CAVE_253	Megara	Bosnia and Herzegovina	18,08447	43,71463	WGS84 	1342	SW	1	horizontal	30	forest	NA	220	0	0	karst	horizontal	0	0	NA	Bilela et al 2011	Fageiella patellata; Porrhomma convexum: Kratochvíl; 1934: Prirodoslovne Razprave; Lepthyphantes centromeroides; Troglohyphantes fugax: Deeleman-Reinhold; 1978a: Slovenska Akademija Znanosti in Umetnosti; Razred za Prirodoslovne Vede; Classis IV; Historia Naturalis (Prirod Vede); Lepthyphantes leprosus; Meta menardi: Kulczyński; 1913: Časopis Moravského Zemského Musea; Rhode stalitoides: Deeleman-Reinhold; 1978b: International Journal of Speleology	Martina Pavlek	martinapavlek@gmail.com
CAVE_258	Pavlova pećina	Bosnia and Herzegovina	18,3075	42,66667	WGS84 	427	SE	1	descendent	2	shrubs	NA	168	0	32	karst	horizontal	0	0	NA	NA	Carpathonesticus parvus; Centromerus subcaecus; Stygopholcus skotophilus: Kulczyński; 1914: Bulletin International de lAcademie des Sciences de Cracovie; Histopona conveniens: Deeleman-Reinhold; 1983: Mémoires de Biospéologie; Stalagtia hercegovinensis: Kratochvíl; 1970: Přírodovědné práce ústavů Československé Akademie Věd v Brně (NS)	Martina Pavlek	martinapavlek@gmail.com
CAVE_281	Taleža	Bosnia and Herzegovina	18,2405	42,71482	WGS84 	272	NW	1	descendent	40,5	shrubs	NA	50	13,5	20,3	karst	descendent	0	0	NA	NA	Histopona conveniens: CBSS\AR3772; 1m; 1f; 3juv; 6112015; leg Alen Kirin; det Martina Pavlek; Palliduphantes spelaeorum: CBSS\AR4184; 1m; 6f; 25102015; leg Martina Pavlek; det Martina Pavlek; Stalagtia hercegovinensis: Kratochvíl; 1970: Přírodovědné práce ústavů Československé Akademie Věd v Brně (NS); Tegenaria annulata: CBSS\AR4183; 1f; 25102015; leg Martina Pavlek; det Martina Pavlek	Martina Pavlek	martinapavlek@gmail.com
CAVE_297	Vučja pećina	Bosnia and Herzegovina	18,32597	42,71598	WGS84 	425	W	1	horizontal	0,5	shrubs	NA	27	0	0	karst	horizontal	0	0	NA	NA	Holocnemus pluchei: CBSS\AR4477; 1f; 1m; 31102014; leg Helena Bilandzija; det Martina Pavlek; Palliduphantes spelaeorum: CBSS\AR3458; 5f; 6122014; leg Martina Pavlek; det Martina Pavlek; Stalagtia hercegovinensis: CBSS\AR3515; 2juv; 342012; leg Ana Komericki; det Martina Pavlek; Stygopholcus skotophilus: CBSS\AR3481; 4f; 2m; 6122014; leg Martina Pavlek; det Martina Pavlek	Martina Pavlek	martinapavlek@gmail.com
CAVE_310	Han Maara cave	Bulgaria	24,92643	42,69693	WGS84 	1440	ESE	1	horizontal	3	shrubs	NA	182	4	0	karst	horizontal	NA	0	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_311	Parnitsite cave	Bulgaria	24,43216	43,20015	WGS84 	250	E	2	horizontal	24	shrubs	Quercus spp.	2950	0	32	karst	descendent	NA	0	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_312	Haydushkata Peshtera cave	Bulgaria	24,11307	43,31274	WGS84 	146	N	1	horizontal	2,25	shrubs	NA	459	20	0	karst	ascendent	NA	0	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_313	Devetashkata Peshtera cave	Bulgaria	24,8854	43,2336	WGS84 	120	N	1	horizontal	400	shrubs	Carpinus orientalis	2442	96	25	karst	ascendent	NA	0	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_314	Belopolyanskata Peshtera cave	Bulgaria	26,13704	41,44492	WGS84 	270	SE	1	descendent	2,25	shrubs	NA	140	0	8	karst	descendent	NA	0	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_315	Asandelia cave	Bulgaria	22,89917	42,33785	WGS84 	865	N	1	descendent	1,5	shrubs	NA	40	3	43	karst	pit	NA	0	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_316	Iliskata (Golyamata) Peshtera cave	Bulgaria	22,77695	42,07121	WGS84 	1277	W	2	horizontal	6	shrubs	NA	108	5	0	karst	horizontal	NA	0	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_317	Sharaliiskata Peshtera cave	Bulgaria	23,31224	41,70982	WGS84 	1657	S	1	horizontal	1	rocky	Pinus nigra	420	20	15	karst	horizontal	NA	0	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_318	Zandana cave	Bulgaria	26,88562	43,26725	WGS84 	430	SW	1	horizontal	4	forest	Quercus spp.	2716	12	20	karst	horizontal	NA	1	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_319	Golashkata cave	Bulgaria	23,93644	42,28478	WGS84 	700	W	1	horizontal	2,25	forest	NA	102	4	6	artificial	horizontal	NA	0	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_320	Bratanovata Peshtera cave	Bulgaria	27,42278	42,00584	WGS84 	450	W	2	horizontal	2,25	forest	Fagus orientalis	348	0	11	karst	horizontal	NA	0	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_321	Razhishka Peshtera cave	Bulgaria	23,38507	43,09008	WGS84 	578	S	1	horizontal	32	rocky	NA	316	10	22	karst	horizontal	NA	0	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_322	Ledenika cave	Bulgaria	23,49358	43,20457	WGS84 	835	SW	1	descendent	2,4	forest	NA	320	16	21	karst	horizontal	NA	1	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_323	Mechata Dupka cave	Bulgaria	24,01514	43,19407	WGS84 	136	NE	1	horizontal	3	shrubs	NA	56	0	0	karst	horizontal	NA	0	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_324	Zmiin Burun cave	Bulgaria	24,93036	41,86028	WGS84 	931	SE	1	descendent	1,5	rocky	NA	242	22	64	karst	pit	NA	0	NA	http://hinko.org/	Beron 2015 Cave Fauna of Bulgaria; ISBN:978-619-152-712-0	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_325	Lepenitsa cave	Bulgaria	24,01057	41,95448	WGS84 	1045	N	1	horizontal	3	forest	Pinus sylvestris	1920	10	0	karst	horizontal	NA	0	NA	Petrov & Stoev 2007 ISBN:978-954-335-054-4	Deltshev & Petrov 2008 Acta Zoologica Bulgarica; Beron 2015	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_326	Yagodinskata Peshtera cave	Bulgaria	24,32337	41,62365	WGS84 	1020	SW	2	horizontal	3	shrubs	Fagus sylvatica	8501	10	36	karst	horizontal	NA	1	NA	Petrov & Stoev 2007 ISBN:978-954-335-054-4	Deltshev & Petrov 2008 Acta Zoologica Bulgarica; Beron 2015	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_327	Pichova Dupka cave	Bulgaria	24,79308	41,79393	WGS84 	1065	flat	1	descendent	2,25	shrubs	NA	36	3	6	karst	horizontal	NA	0	NA	http://hinko.org/	Deltshev & Petrov 2008 Acta Zoologica Bulgarica; Beron 2015	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_328	Mechata Dupka cave	Bulgaria	23,40975	43,00483	WGS84 	934	NNW	1	horizontal	3	forest	NA	546	0	11	karst	horizontal	NA	0	NA	http://hinko.org/	Deltshev & Petrov 2008 Acta Zoologica Bulgarica; Beron 2015	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_329	Magurata cave	Bulgaria	22,58276	43,72775	WGS84 	351	NE	2	descendent	12,5	shrubs	NA	3435	44	25	karst	horizontal	NA	1	NA	http://hinko.org/	Deltshev & Petrov 2008 Acta Zoologica Bulgarica; Beron 2015	Christo Deltshev & Maria Naumova 	deltshev@gmail.com & munny@abv.bg
CAVE_198	Balićeva špilja	Croatia	16,57383	43,57278	WGS84 	402	S	1	descendent	420	forest	NA	155	0	50	karst	descendent	0	0	NA	NA	Barusia maheni: CBSS AR3190; 2m; 1f; 1252012; leg Martina Pavlek; det Martina Pavlek; Folkia boudewijni: Deeleman-Reinhold; 1993: Revue Arachnologique; Kryptonesticus eremita: CBSS AR1168; 1m; 482007; leg Helena Bilandzija; det Martina Pavlek; Metelina merianae; Troglphyphantes giromettai; Troglphyphantes strandi: Deeleman-Reinhold; 1978a: Slovenska Akademija Znanosti in Umetnosti; Razred za Prirodoslovne Vede; Classis IV; Historia Naturalis (Prirod Vede); Rhode sp: CBSS AR2761; 1juv; 2842012; leg Petra Kutlesa; det Martina Pavlek; Stygopholcus absoloni: CBSS AR3189; 1f; 1252012; leg Martina Pavlek; det Martina Pavlek	Martina Pavlek	martinapavlek@gmail.com
CAVE_204	Bukovac	Croatia	14,75766	45,34319	WGS84 	881	N	1	horizontal	40	forest	NA	136	5	2	karst	horizontal	0	0	NA	NA	Diplocephalus alpinus: CBSS AR2460; 2f; 772007; leg Martina Pavlek; det Martina Pavlek; Nesticus cellulanus: CBSS AR5557; 1m; 1092017; leg Tin Rozman; det Martina Pavlek; Parastalita stygia: CBSS AR5117; 1m; 2juv; 2772017; leg Tin Rozman; det Martina Pavlek; Stalita pretneri: Chyzer & Kulczynski; 1897: Academia Scientarum Hungaricae Budapest; Troglohyphantes croaticus: Chyzer & Kulczynski; 1894: Academia Scientarum Hungaricae Budapest	Martina Pavlek	martinapavlek@gmail.com
CAVE_206	Čampari jama	Croatia	14,3336	45,12387	WGS84 	310	flat	1	descendent	30	forest	NA	220	0	100	karst	pit	0	0	NA	Jalžić et al 2013	Kryptonesticus eremita: CBSS AR1782; 1f; 29112008; leg Luka Katusic; det Martina Pavlek; Palliduphantes istrianus: CBSS AR4740; 1m; 842000; leg Roman Ozimac; det Martina Pavlek; Tegenaria silvestris: CBSS AR1058; 1m; 1juv; 20102000; leg Roman Ozimac; det Martina Pavlek; Troglohyphantes liburnicus: Deeleman-Reinhold; 1978a: Slovenska Akademija Znanosti in Umetnosti; Razred za Prirodoslovne Vede; Classis IV; Historia Naturalis (Prirod Vede)	Martina Pavlek	martinapavlek@gmail.com
CAVE_207	Cerovačka špilja gornja	Croatia	15,88422	44,27338	WGS84 	671	N	1	horizontal	12	forest	NA	3100	65	200	karst	horizontal	0	1	NA	NA	Parastalita stygia: CBSS AR1737; 1f; 1862006; leg Marko Lukic; det Martina Pavlek; Stalita pretneri: CBSS AR2405; 1m; 4122011; leg Andela Cukusic; det Martina Pavlek; Troglohyphantes roberti: Deeleman-Reinhold; 1978a: Slovenska Akademija Znanosti in Umetnosti; Razred za Prirodoslovne Vede; Classis IV; Historia Naturalis (Prirod Vede); Troglohyphantes kordunlikanus: CBSS AR4524; 1f; 342016; leg Tin Rozman; det Martina Pavlek	Martina Pavlek	martinapavlek@gmail.com
CAVE_215	Francuski rudnik 1	Croatia	15,94045	45,91305	WGS84 	700	NW	1	horizontal	1	forest	NA	55	0	0	artificial	horizontal	0	1	NA	http://www.speleolog.hr/aktivnosti/objekti/41-francuski-rudnici-na-medvednici-	Nesticus cellulanus: CBSS AR929; 1f; 1642005; leg Roman Ozimec; det Martina Pavlek; Tegenaria silvestris: CBSS AR1794; 1m; 19112004; leg Martina Pavlek; det Martina Pavlek; Troglohyphantes excavatus: CBSS AR758; 1m; 1juv; 24112004; leg Jana Bedek; det Martina Pavlek	Martina Pavlek	martinapavlek@gmail.com
CAVE_217	Golubnjača kod Žegara	Croatia	15,85105	44,13193	WGS84 	243	flat	1	pit	50	shrubs	NA	850	0	0	karst	horizontal	0	1	NA	Jalžić et al 2013; Cvitanović 2007/2008	Centromerus cavernarum: CBSS AR2570; 1f; 282006; leg Ivica Jaklinovic; det Martina Pavlek; Kryptonesticus eremita: CBSS AR1169; 1f; 1m; 282006; leg Martina Pavlek; det Martina Pavlek; Palliduphantes istrianus: CBSS AR1901; 1f; 1102010; leg Nikolina Raguž; det Martina Pavlek; Micrargus herbigradus: CBSS AR2922; 3f; 282006; leg Martina Pavlek; det Martina Pavlek; Troglohyphantes roberti: Deeleman-Reinhold; 1978a: Slovenska Akademija Znanosti in Umetnosti; Razred za Prirodoslovne Vede; Classis IV; Historia Naturalis (Prirod Vede)	Martina Pavlek	martinapavlek@gmail.com
CAVE_220	Gornja Baraćeva špilja	Croatia	15,72558	44,98392	WGS84 	340	NE	1	horizontal	9	forest	NA	470	0	32	karst	horizontal	0	1	NA	NA	Centromerus cavernarum: CBSS AR2642; 2m; 2f; 2juv; 2172002; leg Roman Ozimec; det Martina Pavlek; Meta menardi: CBSS AR4056; 1f; 2juv; leg Marijana Cukrov; det Martina Pavlek; Parastalita stygia: Deeleman-Reinhold; 1971: Slovenska Akademija Znanosti in Umetnosti; Razred za Prirodoslovne Vede; Classis IV; Historia Naturalis; Stalita pretneri: CBSS AR5150; 1juv; 1072017; leg Hrvoje Cvitanovic; det Martina Pavlek; Troglohyphantes excavatus: Deeleman-Reinhold; 1978a: Slovenska Akademija Znanosti in Umetnosti; Razred za Prirodoslovne Vede; Classis IV; Historia Naturalis (Prirod Vede)	Martina Pavlek	martinapavlek@gmail.com
CAVE_222	Grapčeva špilja	Croatia	16,75294	43,13403	WGS84 	239	S	1	horizontal	4	shrubs	NA	32	0	0	karst	horizontal	0	1	NA	NA	Barusia insulana: Kratochvíl & Miller; 1939: Archives de Zoologie Expérimentale et Générale; Hadites tegenarioides: Kratochvíl; 1938a: Étude sur les araignées cavernicoles du genre Hadites Práce Moravské Přírodovědecké Společnosti: Práce Moravské Přírodovědecké Společnosti; Kryptonesticus eremita: Brignoli; 1971: Contributo alla conoscenza dei ragni cavernicoli della Jugoslavia Fragmenta Entomologica; Palliduphantes spelaeorum: Deeleman-Reinhold; 1986: Mémoires de Biospéologie; Pholcus phalangioides:Kratochvíl; 1978: Přírodovědné práce ústavů Československé Akademie Věd v Brně (N S); Stygopholcus absoloni: Kratochvíl; 1978: Přírodovědné práce ústavů Československé Akademie Věd v Brně (N S); Sulcia inferna: Kratochvíl; 1938b: Étude sur les araignées cavernicoles du genre Sulcia nov gen Práce Moravské Přírodovědecké Společnosti	Martina Pavlek	martinapavlek@gmail.com
CAVE_224	Grgosova špilja stara	Croatia	15,67855	45,81897	WGS84 	240	NW	1	horizontal	2	urbanized	NA	53	0	19	karst	descendent	0	1	Todays entrance was artificially open while digging in the mine in 1973	Posarić2009	Amaurobius ferox: CBSS\AR3405; 1m; 26112014; leg Nikolina Kuharic; det Martina Pavlek; Centromerus cavernarum: CBSS\AR3408; 1f; 26112014; leg Marko Lukic; det Martina Pavlek; Meta menardi: CBSS\AR3409; 1m; 26112014; leg Marko Lukic; det Martina Pavlek; Nesticus cellulanus: CBSS\AR3399; 1f; 1juv; 26112014; leg Marko Lukic; det Martina Pavlek; Porrhomma microphtalmum: CBSS\AR3402; 1m; 26112014; leg Tamara Mihoci; det Martina Pavlek	Martina Pavlek	martinapavlek@gmail.com
CAVE_230	Jama iznad Vranjske drage	Croatia	14,15232	45,31057	WGS84 	306	flat	1	pit	0,64	forest	NA	15	0	35	karst	pit	0	0	NA	NA	Kryptonesticus eremita: CBSS AR1324; 2m; 262010; leg Alen Kirin; det Martina Pavlek; Palliduphantes istrianus: CBSS AR1325; 1f; 262010; leg Alen Kirin; det Martina Pavlek; Troglohyphantes brignolii: CBSS AR1323; 3f; 2juv; 262010; leg Alen Kirin; det Martina Pavlek	Martina Pavlek	martinapavlek@gmail.com
